1. táblázat
Dátum;Waikiki pénzkibocsátás (WUD);Waikiki pénzkibocsátás (USD);Waikiki pénzmennyiség (WUD);Waikiki pénzmennyiség (USD);USA pénzmennyiség (USD);USA pénzkibocsátás (USD);WNB betét alapkamat;FED betét alapkamat;Waikiki 5 éves hitel alapkamat;USA 5 éves hitel alapkamat;Waikiki hitel - betét;USA hitel - betét
2011. augusztus;3 milliárd WUD;4 milliárd USD;5 560 milliárd WUD;9 727 milliárd USD;9 505 milliárd USD;191 milliárd USD;2,39%;0,11%;5,89%;3,09%;3,49%;2,98%
2011. szeptember;63 milliárd WUD;110 milliárd USD;5 623 milliárd WUD;9 831 milliárd USD;9 526 milliárd USD;21 milliárd USD;2,38%;0,07%;5,91%;3,12%;3,54%;3,04%
2011. október;25 milliárd WUD;44 milliárd USD;5 648 milliárd WUD;9 869 milliárd USD;9 560 milliárd USD;34 milliárd USD;2,46%;0,10%;5,95%;3,19%;3,49%;3,09%
2011. november;49 milliárd WUD;91 milliárd USD;5 698 milliárd WUD;10 519 milliárd USD;9 610 milliárd USD;51 milliárd USD;2,40%;0,05%;5,86%;3,08%;3,45%;3,02%
2011. december;3 milliárd WUD;6 milliárd USD;5 701 milliárd WUD;10 520 milliárd USD;9 658 milliárd USD;48 milliárd USD;2,53%;0,08%;5,85%;3,12%;3,32%;3,05%
2012;62 milliárd WUD;111 milliárd USD;5 763 milliárd WUD;10 340 milliárd USD;9 732 milliárd USD;74 milliárd USD;2,52%;0,08%;5,76%;3,00%;3,24%;2,91%
2012. február;37 milliárd WUD;67 milliárd USD;5 800 milliárd WUD;10 344 milliárd USD;9 789 milliárd USD;58 milliárd USD;2,61%;0,15%;5,84%;2,85%;3,23%;2,70%
2012. március;47 milliárd WUD;87 milliárd USD;5 847 milliárd WUD;10 774 milliárd USD;9 837 milliárd USD;48 milliárd USD;2,65%;0,17%;5,79%;2,86%;3,15%;2,69%
2012. április;1 milliárd WUD;1 milliárd USD;5 848 milliárd WUD;10 829 milliárd USD;9 890 milliárd USD;53 milliárd USD;2,57%;0,14%;5,76%;2,81%;3,19%;2,66%
2012. május;34 milliárd WUD;63 milliárd USD;5 882 milliárd WUD;10 829 milliárd USD;9 935 milliárd USD;45 milliárd USD;2,64%;0,19%;5,79%;2,83%;3,15%;2,63%
2012. június;53 milliárd WUD;96 milliárd USD;5 935 milliárd WUD;10 803 milliárd USD;9 998 milliárd USD;64 milliárd USD;2,72%;0,18%;5,82%;2,80%;3,10%;2,61%
2012. július;62 milliárd WUD;117 milliárd USD;5 996 milliárd WUD;11 391 milliárd USD;10 055 milliárd USD;57 milliárd USD;2,79%;0,16%;5,84%;2,53%;3,05%;2,37%
2012. augusztus;13 milliárd WUD;25 milliárd USD;6 009 milliárd WUD;11 473 milliárd USD;10 115 milliárd USD;60 milliárd USD;2,70%;0,13%;5,80%;2,49%;3,10%;2,37%
2012. szeptember;68 milliárd WUD;131 milliárd USD;6 077 milliárd WUD;11 720 milliárd USD;10 193 milliárd USD;78 milliárd USD;2,68%;0,17%;5,90%;2,45%;3,22%;2,28%
2012. október;39 milliárd WUD;73 milliárd USD;6 116 milliárd WUD;11 451 milliárd USD;10 257 milliárd USD;63 milliárd USD;2,49%;0,13%;5,81%;2,37%;3,32%;2,24%
2012. november;46 milliárd WUD;88 milliárd USD;6 163 milliárd WUD;11 747 milliárd USD;10 320 milliárd USD;63 milliárd USD;2,49%;0,18%;5,81%;2,38%;3,32%;2,21%
2012. december;39 milliárd WUD;75 milliárd USD;6 202 milliárd WUD;11 783 milliárd USD;10 452 milliárd USD;132 milliárd USD;2,35%;0,18%;5,73%;2,40%;3,38%;2,23%
2013;7 milliárd WUD;13 milliárd USD;6 209 milliárd WUD;11 820 milliárd USD;10 477 milliárd USD;26 milliárd USD;2,34%;0,19%;5,72%;2,45%;3,38%;2,27%
2013. február;61 milliárd WUD;113 milliárd USD;6 270 milliárd WUD;11 646 milliárd USD;10 489 milliárd USD;12 milliárd USD;2,31%;0,17%;5,70%;2,46%;3,38%;2,29%
2013. március;55 milliárd WUD;104 milliárd USD;6 325 milliárd WUD;12 025 milliárd USD;10 556 milliárd USD;67 milliárd USD;2,31%;0,10%;5,61%;2,42%;3,30%;2,31%
2013. április;19 milliárd WUD;36 milliárd USD;6 344 milliárd WUD;11 959 milliárd USD;10 590 milliárd USD;35 milliárd USD;2,21%;0,10%;5,56%;2,36%;3,35%;2,26%
2013. május;64 milliárd WUD;126 milliárd USD;6 408 milliárd WUD;12 617 milliárd USD;10 630 milliárd USD;40 milliárd USD;2,22%;0,13%;5,65%;2,44%;3,43%;2,32%
2013. június;28 milliárd WUD;55 milliárd USD;6 436 milliárd WUD;12 504 milliárd USD;10 683 milliárd USD;52 milliárd USD;2,20%;0,14%;5,68%;2,70%;3,48%;2,56%
2013. július;29 milliárd WUD;57 milliárd USD;6 465 milliárd WUD;12 586 milliárd USD;10 729 milliárd USD;46 milliárd USD;2,18%;0,11%;5,70%;2,79%;3,52%;2,68%
2013. augusztus;34 milliárd WUD;67 milliárd USD;6 499 milliárd WUD;12 872 milliárd USD;10 784 milliárd USD;55 milliárd USD;2,29%;0,12%;5,71%;2,85%;3,43%;2,73%
2013. szeptember;40 milliárd WUD;79 milliárd USD;6 539 milliárd WUD;12 911 milliárd USD;10 835 milliárd USD;52 milliárd USD;2,22%;0,04%;5,69%;2,86%;3,47%;2,81%
2013. október;47 milliárd WUD;93 milliárd USD;6 586 milliárd WUD;12 964 milliárd USD;10 949 milliárd USD;113 milliárd USD;2,32%;0,06%;5,66%;2,73%;3,34%;2,67%
2013. november;35 milliárd WUD;67 milliárd USD;6 621 milliárd WUD;12 727 milliárd USD;10 954 milliárd USD;5 milliárd USD;2,42%;0,12%;5,75%;2,75%;3,33%;2,63%
2013. december;76 milliárd WUD;146 milliárd USD;6 697 milliárd WUD;12 899 milliárd USD;11 020 milliárd USD;66 milliárd USD;2,36%;0,11%;5,77%;2,79%;3,42%;2,69%
2014;18 milliárd WUD;35 milliárd USD;6 715 milliárd WUD;13 094 milliárd USD;11 077 milliárd USD;56 milliárd USD;2,45%;0,09%;5,78%;2,78%;3,33%;2,69%
2014. február;64 milliárd WUD;125 milliárd USD;6 779 milliárd WUD;13 180 milliárd USD;11 169 milliárd USD;93 milliárd USD;2,49%;0,04%;5,74%;2,70%;3,24%;2,66%
2014. március;7 milliárd WUD;14 milliárd USD;6 786 milliárd WUD;13 358 milliárd USD;11 208 milliárd USD;38 milliárd USD;2,69%;0,12%;5,83%;2,77%;3,14%;2,66%
2014. április;59 milliárd WUD;115 milliárd USD;6 845 milliárd WUD;13 501 milliárd USD;11 260 milliárd USD;52 milliárd USD;2,72%;0,12%;5,82%;2,77%;3,10%;2,66%
2014. május;37 milliárd WUD;72 milliárd USD;6 882 milliárd WUD;13 465 milliárd USD;11 326 milliárd USD;67 milliárd USD;2,70%;0,04%;5,72%;2,68%;3,02%;2,64%
2014. június;41 milliárd WUD;81 milliárd USD;6 922 milliárd WUD;13 781 milliárd USD;11 377 milliárd USD;51 milliárd USD;2,73%;0,09%;5,79%;2,73%;3,06%;2,64%
2014. július;77 milliárd WUD;151 milliárd USD;6 999 milliárd WUD;13 754 milliárd USD;11 434 milliárd USD;57 milliárd USD;2,83%;0,14%;5,88%;2,76%;3,05%;2,63%
2014. augusztus;22 milliárd WUD;43 milliárd USD;7 021 milliárd WUD;13 616 milliárd USD;11 463 milliárd USD;29 milliárd USD;2,85%;0,11%;5,85%;2,72%;3,00%;2,62%
2014. szeptember;61 milliárd WUD;118 milliárd USD;7 082 milliárd WUD;13 693 milliárd USD;11 497 milliárd USD;34 milliárd USD;2,88%;0,09%;5,88%;2,81%;3,00%;2,72%
2014. október;38 milliárd WUD;73 milliárd USD;7 120 milliárd WUD;13 866 milliárd USD;11 559 milliárd USD;62 milliárd USD;2,78%;0,13%;5,91%;2,75%;3,13%;2,62%
2014. november;41 milliárd WUD;81 milliárd USD;7 161 milliárd WUD;14 190 milliárd USD;11 595 milliárd USD;36 milliárd USD;2,68%;0,07%;5,90%;2,78%;3,22%;2,71%
2014. december;54 milliárd WUD;109 milliárd USD;7 214 milliárd WUD;14 615 milliárd USD;11 674 milliárd USD;79 milliárd USD;2,69%;0,10%;5,91%;2,79%;3,22%;2,68%
2015;35 milliárd WUD;70 milliárd USD;7 249 milliárd WUD;14 498 milliárd USD;11 744 milliárd USD;70 milliárd USD;2,73%;0,10%;5,87%;2,66%;3,14%;2,56%
2015. február;59 milliárd WUD;116 milliárd USD;7 308 milliárd WUD;14 427 milliárd USD;11 872 milliárd USD;128 milliárd USD;2,62%;0,07%;5,85%;2,66%;3,23%;2,58%
2015. március;41 milliárd WUD;83 milliárd USD;7 349 milliárd WUD;14 906 milliárd USD;11 888 milliárd USD;16 milliárd USD;2,63%;0,09%;5,86%;2,68%;3,23%;2,60%
2015. április;11 milliárd WUD;22 milliárd USD;7 360 milliárd WUD;15 033 milliárd USD;11 928 milliárd USD;40 milliárd USD;2,65%;0,16%;5,96%;2,64%;3,31%;2,47%
2015. május;16 milliárd WUD;32 milliárd USD;7 376 milliárd WUD;14 654 milliárd USD;11 958 milliárd USD;30 milliárd USD;2,59%;0,15%;5,94%;2,74%;3,35%;2,58%
2015. június;50 milliárd WUD;99 milliárd USD;7 426 milliárd WUD;14 636 milliárd USD;12 003 milliárd USD;45 milliárd USD;2,55%;0,11%;5,90%;2,85%;3,36%;2,74%
2015. július;2 milliárd WUD;5 milliárd USD;7 429 milliárd WUD;14 894 milliárd USD;12 052 milliárd USD;49 milliárd USD;2,56%;0,13%;5,92%;2,87%;3,36%;2,75%
2015. augusztus;30 milliárd WUD;61 milliárd USD;7 458 milliárd WUD;15 135 milliárd USD;12 101 milliárd USD;49 milliárd USD;2,57%;0,15%;5,89%;2,89%;3,31%;2,73%
2015. szeptember;34 milliárd WUD;68 milliárd USD;7 492 milliárd WUD;15 010 milliárd USD;12 155 milliárd USD;54 milliárd USD;2,64%;0,17%;5,95%;2,88%;3,31%;2,71%
2015. október;30 milliárd WUD;60 milliárd USD;7 522 milliárd WUD;15 101 milliárd USD;12 193 milliárd USD;38 milliárd USD;2,61%;0,07%;5,88%;2,79%;3,27%;2,71%
2015. november;27 milliárd WUD;55 milliárd USD;7 549 milliárd WUD;15 638 milliárd USD;12 277 milliárd USD;85 milliárd USD;2,64%;0,10%;5,95%;2,88%;3,31%;2,77%
2015. december;34 milliárd WUD;71 milliárd USD;7 583 milliárd WUD;15 666 milliárd USD;12 340 milliárd USD;63 milliárd USD;2,69%;0,23%;5,99%;2,93%;3,30%;2,69%
2016;59 milliárd WUD;121 milliárd USD;7 642 milliárd WUD;15 666 milliárd USD;12 471 milliárd USD;131 milliárd USD;2,67%;0,31%;5,94%;2,92%;3,26%;2,61%
2016. február;20 milliárd WUD;40 milliárd USD;7 662 milliárd WUD;15 738 milliárd USD;12 552 milliárd USD;81 milliárd USD;2,71%;0,34%;5,93%;2,84%;3,22%;2,49%
2016. március;46 milliárd WUD;94 milliárd USD;7 708 milliárd WUD;15 711 milliárd USD;12 617 milliárd USD;64 milliárd USD;2,75%;0,37%;5,93%;2,82%;3,17%;2,45%
2016. április;8 milliárd WUD;16 milliárd USD;7 715 milliárd WUD;15 836 milliárd USD;12 697 milliárd USD;80 milliárd USD;2,75%;0,38%;5,89%;2,67%;3,13%;2,29%
2016. május;25 milliárd WUD;51 milliárd USD;7 740 milliárd WUD;15 842 milliárd USD;12 764 milliárd USD;67 milliárd USD;2,81%;0,39%;5,93%;2,69%;3,13%;2,30%
2016. június;10 milliárd WUD;21 milliárd USD;7 750 milliárd WUD;16 050 milliárd USD;12 831 milliárd USD;67 milliárd USD;2,75%;0,34%;5,89%;2,59%;3,13%;2,25%
2016. július;13 milliárd WUD;27 milliárd USD;7 763 milliárd WUD;16 496 milliárd USD;12 889 milliárd USD;59 milliárd USD;2,73%;0,37%;5,95%;2,51%;3,22%;2,14%
2016. augusztus;25 milliárd WUD;52 milliárd USD;7 788 milliárd WUD;16 504 milliárd USD;12 968 milliárd USD;79 milliárd USD;2,77%;0,42%;5,94%;2,52%;3,17%;2,10%
2016. szeptember;15 milliárd WUD;31 milliárd USD;7 802 milliárd WUD;16 411 milliárd USD;13 027 milliárd USD;59 milliárd USD;2,75%;0,35%;5,88%;2,52%;3,13%;2,17%
2016. október;48 milliárd WUD;99 milliárd USD;7 851 milliárd WUD;16 231 milliárd USD;13 100 milliárd USD;72 milliárd USD;2,78%;0,39%;5,91%;2,58%;3,13%;2,20%
2016. november;14 milliárd WUD;30 milliárd USD;7 865 milliárd WUD;16 451 milliárd USD;13 174 milliárd USD;74 milliárd USD;2,86%;0,43%;5,90%;2,80%;3,04%;2,37%
2016. december;32 milliárd WUD;67 milliárd USD;7 896 milliárd WUD;16 866 milliárd USD;13 214 milliárd USD;40 milliárd USD;2,86%;0,56%;5,90%;3,05%;3,04%;2,49%
2017;47 milliárd WUD;97 milliárd USD;7 943 milliárd WUD;16 443 milliárd USD;13 289 milliárd USD;75 milliárd USD;2,80%;0,66%;5,89%;3,04%;3,09%;2,38%
2017. február;24 milliárd WUD;50 milliárd USD;7 968 milliárd WUD;16 367 milliárd USD;13 359 milliárd USD;71 milliárd USD;2,75%;0,62%;5,88%;2,99%;3,13%;2,37%
2017. március;59 milliárd WUD;123 milliárd USD;8 026 milliárd WUD;16 762 milliárd USD;13 429 milliárd USD;69 milliárd USD;2,85%;0,81%;5,93%;3,10%;3,08%;2,29%
2017. április;25 milliárd WUD;51 milliárd USD;8 051 milliárd WUD;16 847 milliárd USD;13 487 milliárd USD;58 milliárd USD;2,87%;0,94%;5,95%;3,02%;3,08%;2,08%
2017. május;12 milliárd WUD;26 milliárd USD;8 063 milliárd WUD;17 228 milliárd USD;13 537 milliárd USD;51 milliárd USD;2,91%;0,95%;5,95%;2,99%;3,04%;2,04%
2017. június;43 milliárd WUD;90 milliárd USD;8 106 milliárd WUD;17 030 milliárd USD;13 565 milliárd USD;27 milliárd USD;2,87%;1,08%;5,99%;2,97%;3,12%;1,88%
2017. július;39 milliárd WUD;82 milliárd USD;8 145 milliárd WUD;17 226 milliárd USD;13 622 milliárd USD;57 milliárd USD;2,88%;1,19%;6,00%;3,02%;3,12%;1,83%
2017. augusztus;49 milliárd WUD;105 milliárd USD;8 194 milliárd WUD;17 528 milliárd USD;13 671 milliárd USD;50 milliárd USD;2,88%;1,16%;5,92%;2,94%;3,04%;1,78%
2017. szeptember;26 milliárd WUD;56 milliárd USD;8 220 milliárd WUD;17 455 milliárd USD;13 714 milliárd USD;43 milliárd USD;2,83%;1,15%;5,92%;2,94%;3,09%;1,79%
2017. október;12 milliárd WUD;25 milliárd USD;8 232 milliárd WUD;17 349 milliárd USD;13 768 milliárd USD;53 milliárd USD;2,83%;1,19%;5,99%;2,99%;3,17%;1,80%
2017. november;17 milliárd WUD;36 milliárd USD;8 249 milliárd WUD;17 584 milliárd USD;13 802 milliárd USD;35 milliárd USD;2,82%;1,14%;5,99%;3,03%;3,17%;1,89%
2017. december;25 milliárd WUD;51 milliárd USD;8 274 milliárd WUD;17 340 milliárd USD;13 855 milliárd USD;52 milliárd USD;2,87%;1,34%;6,07%;3,15%;3,20%;1,80%
2018;70 milliárd WUD;152 milliárd USD;8 344 milliárd WUD;18 023 milliárd USD;13 872 milliárd USD;17 milliárd USD;2,89%;1,42%;6,01%;3,27%;3,12%;1,85%
2018. február;25 milliárd WUD;56 milliárd USD;8 369 milliárd WUD;18 598 milliárd USD;13 914 milliárd USD;43 milliárd USD;2,77%;1,79%;6,00%;3,42%;3,23%;1,63%
2018. március;10 milliárd WUD;22 milliárd USD;8 379 milliárd WUD;18 597 milliárd USD;13 971 milliárd USD;57 milliárd USD;2,66%;1,92%;5,92%;3,55%;3,27%;1,63%
2018. április;8 milliárd WUD;17 milliárd USD;8 387 milliárd WUD;18 155 milliárd USD;14 001 milliárd USD;30 milliárd USD;2,62%;1,98%;5,84%;3,61%;3,22%;1,63%
2018. május;15 milliárd WUD;33 milliárd USD;8 402 milliárd WUD;18 286 milliárd USD;14 066 milliárd USD;65 milliárd USD;2,55%;2,07%;5,82%;3,72%;3,28%;1,65%
2018. június;20 milliárd WUD;44 milliárd USD;8 422 milliárd WUD;18 429 milliárd USD;14 126 milliárd USD;60 milliárd USD;2,49%;2,11%;5,69%;3,71%;3,20%;1,60%
2018. július;11 milliárd WUD;24 milliárd USD;8 433 milliárd WUD;18 042 milliárd USD;14 156 milliárd USD;30 milliárd USD;2,36%;2,17%;5,28%;3,67%;2,92%;1,50%
2018. augusztus;6 milliárd WUD;13 milliárd USD;8 439 milliárd WUD;18 350 milliárd USD;14 198 milliárd USD;43 milliárd USD;2,23%;2,24%;5,36%;3,61%;3,13%;1,37%
2018. szeptember;17 milliárd WUD;37 milliárd USD;8 456 milliárd WUD;18 161 milliárd USD;14 229 milliárd USD;31 milliárd USD;2,25%;2,34%;5,20%;3,70%;2,95%;1,36%
2018. október;14 milliárd WUD;30 milliárd USD;8 470 milliárd WUD;18 287 milliárd USD;14 236 milliárd USD;7 milliárd USD;2,14%;2,46%;5,02%;3,85%;2,88%;1,39%
2018. november;22 milliárd WUD;49 milliárd USD;8 492 milliárd WUD;18 838 milliárd USD;14 255 milliárd USD;19 milliárd USD;2,11%;2,52%;5,00%;3,90%;2,89%;1,38%
2018. december;12 milliárd WUD;26 milliárd USD;8 504 milliárd WUD;18 669 milliárd USD;14 374 milliárd USD;119 milliárd USD;1,99%;2,54%;4,94%;3,75%;2,96%;1,21%
2019;8 milliárd WUD;18 milliárd USD;8 512 milliárd WUD;18 785 milliárd USD;14 443 milliárd USD;69 milliárd USD;1,86%;2,51%;4,98%;3,55%;3,12%;1,04%
2019. február;17 milliárd WUD;38 milliárd USD;8 529 milliárd WUD;18 920 milliárd USD;14 486 milliárd USD;43 milliárd USD;1,80%;2,50%;4,88%;3,31%;3,08%;0,81%
2019. március;4 milliárd WUD;9 milliárd USD;8 533 milliárd WUD;18 408 milliárd USD;14 533 milliárd USD;47 milliárd USD;1,76%;2,51%;4,64%;3,15%;2,88%;0,64%
2019. április;12 milliárd WUD;26 milliárd USD;8 545 milliárd WUD;18 722 milliárd USD;14 569 milliárd USD;35 milliárd USD;1,66%;2,46%;4,56%;3,05%;2,90%;0,59%
2019. május;23 milliárd WUD;51 milliárd USD;8 568 milliárd WUD;18 869 milliárd USD;14 668 milliárd USD;100 milliárd USD;1,44%;2,42%;4,51%;2,97%;3,07%;0,55%
2019. június;16 milliárd WUD;36 milliárd USD;8 584 milliárd WUD;19 437 milliárd USD;14 787 milliárd USD;119 milliárd USD;1,35%;2,17%;3,92%;2,64%;2,57%;0,47%
2019. július;11 milliárd WUD;24 milliárd USD;8 595 milliárd WUD;19 004 milliárd USD;14 858 milliárd USD;71 milliárd USD;1,26%;2,08%;4,08%;2,52%;2,82%;0,44%
2019. augusztus;6 milliárd WUD;13 milliárd USD;8 601 milliárd WUD;19 113 milliárd USD;14 935 milliárd USD;77 milliárd USD;1,24%;1,93%;4,10%;2,25%;2,85%;0,32%
2019. szeptember;14 milliárd WUD;31 milliárd USD;8 615 milliárd WUD;19 029 milliárd USD;15 026 milliárd USD;92 milliárd USD;1,22%;1,89%;4,15%;2,30%;2,93%;0,41%
2019. október;5 milliárd WUD;11 milliárd USD;8 620 milliárd WUD;19 274 milliárd USD;15 153 milliárd USD;126 milliárd USD;1,17%;1,67%;4,10%;2,20%;2,93%;0,53%
2019. november;5 milliárd WUD;11 milliárd USD;8 625 milliárd WUD;18 975 milliárd USD;15 251 milliárd USD;98 milliárd USD;1,16%;1,59%;4,12%;2,25%;2,96%;0,66%
2019. december;12 milliárd WUD;27 milliárd USD;8 637 milliárd WUD;19 409 milliárd USD;15 326 milliárd USD;75 milliárd USD;1,08%;1,58%;4,12%;2,22%;3,04%;0,64%
2020;3 milliárd WUD;7 milliárd USD;8 640 milliárd WUD;19 104 milliárd USD;15 407 milliárd USD;81 milliárd USD;1,04%;1,57%;4,08%;2,08%;3,05%;0,51%
2020. február;2 milliárd WUD;4 milliárd USD;8 642 milliárd WUD;19 204 milliárd USD;15 470 milliárd USD;64 milliárd USD;0,99%;1,51%;4,00%;1,85%;3,01%;0,34%
2020. március;4 milliárd WUD;9 milliárd USD;8 646 milliárd WUD;19 021 milliárd USD;16 011 milliárd USD;541 milliárd USD;0,99%;0,30%;3,94%;2,31%;2,95%;2,01%
2020. április;2 milliárd WUD;4 milliárd USD;8 648 milliárd WUD;18 911 milliárd USD;16 439 milliárd USD;428 milliárd USD;0,95%;0,17%;3,84%;1,77%;2,90%;1,60%
2020. május;5 milliárd WUD;11 milliárd USD;8 653 milliárd WUD;19 325 milliárd USD;16 989 milliárd USD;550 milliárd USD;0,90%;0,15%;3,80%;1,42%;2,90%;1,27%
2020. június;2 milliárd WUD;4 milliárd USD;8 655 milliárd WUD;19 449 milliárd USD;17 476 milliárd USD;487 milliárd USD;0,90%;0,18%;3,68%;1,05%;2,78%;0,87%
2020. július;3 milliárd WUD;7 milliárd USD;8 658 milliárd WUD;20 305 milliárd USD;17 816 milliárd USD;341 milliárd USD;0,86%;0,14%;3,60%;0,89%;2,75%;0,75%
2020. augusztus;4 milliárd WUD;9 milliárd USD;8 662 milliárd WUD;20 455 milliárd USD;18 378 milliárd USD;562 milliárd USD;0,81%;0,12%;3,36%;0,79%;2,55%;0,67%
2020. szeptember;3 milliárd WUD;7 milliárd USD;8 665 milliárd WUD;19 776 milliárd USD;18 601 milliárd USD;223 milliárd USD;0,72%;0,11%;3,28%;0,80%;2,56%;0,69%
2020. október;2 milliárd WUD;5 milliárd USD;8 667 milliárd WUD;19 679 milliárd USD;18 748 milliárd USD;147 milliárd USD;0,72%;0,11%;3,20%;0,85%;2,48%;0,74%
2020. november;4 milliárd WUD;9 milliárd USD;8 671 milliárd WUD;19 613 milliárd USD;18 959 milliárd USD;211 milliárd USD;0,68%;0,10%;3,20%;0,85%;2,53%;0,75%
2020. december;2 milliárd WUD;5 milliárd USD;8 673 milliárd WUD;19 567 milliárd USD;19 129 milliárd USD;171 milliárd USD;0,77%;0,09%;3,20%;0,84%;2,44%;0,75%
2021;8 milliárd WUD;18 milliárd USD;8 681 milliárd WUD;19 479 milliárd USD;19 388 milliárd USD;259 milliárd USD;0,72%;0,10%;3,12%;0,88%;2,40%;0,78%
2021. február;14 milliárd WUD;31 milliárd USD;8 695 milliárd WUD;19 171 milliárd USD;19 658 milliárd USD;270 milliárd USD;0,72%;0,08%;3,12%;0,97%;2,40%;0,89%
2021. március;16 milliárd WUD;36 milliárd USD;8 711 milliárd WUD;19 416 milliárd USD;19 903 milliárd USD;246 milliárd USD;0,72%;0,06%;3,20%;1,31%;2,48%;1,25%
2021. április;12 milliárd WUD;26 milliárd USD;8 723 milliárd WUD;18 883 milliárd USD;20 156 milliárd USD;253 milliárd USD;0,68%;0,04%;3,28%;1,30%;2,61%;1,26%
2021. május;13 milliárd WUD;29 milliárd USD;8 736 milliárd WUD;19 472 milliárd USD;20 424 milliárd USD;268 milliárd USD;0,72%;0,04%;3,28%;1,24%;2,56%;1,20%
2021. június;17 milliárd WUD;38 milliárd USD;8 753 milliárd WUD;19 641 milliárd USD;20 443 milliárd USD;19 milliárd USD;0,77%;0,04%;3,32%;1,21%;2,56%;1,17%
2021. július;17 milliárd WUD;37 milliárd USD;8 770 milliárd WUD;19 315 milliárd USD;20 592 milliárd USD;149 milliárd USD;0,77%;0,05%;3,32%;1,13%;2,56%;1,08%
2021. augusztus;20 milliárd WUD;44 milliárd USD;8 790 milliárd WUD;19 463 milliárd USD;20 851 milliárd USD;259 milliárd USD;0,81%;0,06%;3,40%;1,17%;2,59%;1,11%
2021. szeptember;15 milliárd WUD;33 milliárd USD;8 805 milliárd WUD;19 601 milliárd USD;21 010 milliárd USD;159 milliárd USD;0,90%;0,06%;3,48%;1,26%;2,58%;1,20%
2021. október;19 milliárd WUD;42 milliárd USD;8 824 milliárd WUD;19 495 milliárd USD;21 164 milliárd USD;153 milliárd USD;0,90%;0,05%;3,60%;1,48%;2,70%;1,43%
2021. november;15 milliárd WUD;34 milliárd USD;8 839 milliárd WUD;20 042 milliárd USD;21 402 milliárd USD;238 milliárd USD;1,08%;0,06%;3,84%;1,60%;2,76%;1,54%
2021. december;17 milliárd WUD;38 milliárd USD;8 856 milliárd WUD;19 926 milliárd USD;21 595 milliárd USD;193 milliárd USD;1,35%;0,10%;4,00%;1,67%;2,65%;1,57%
2022;5 milliárd WUD;11 milliárd USD;8 861 milliárd WUD;20 370 milliárd USD;21 650 milliárd USD;55 milliárd USD;1,35%;0,33%;4,00%;1,98%;2,65%;1,65%
2022. február;7 milliárd WUD;16 milliárd USD;8 868 milliárd WUD;20 658 milliárd USD;21 708 milliárd USD;59 milliárd USD;1,35%;0,64%;4,16%;2,37%;2,81%;1,73%
2022. március;3 milliárd WUD;7 milliárd USD;8 871 milliárd WUD;20 931 milliárd USD;21 740 milliárd USD;31 milliárd USD;1,26%;0,86%;4,00%;2,85%;2,74%;1,99%
2022. április;1 milliárd WUD;3 milliárd USD;8 872 milliárd WUD;23 461 milliárd USD;21 644 milliárd USD;-96 milliárd USD;1,08%;1,26%;3,84%;3,51%;2,76%;2,25%
2022. május;1 milliárd WUD;3 milliárd USD;8 873 milliárd WUD;22 654 milliárd USD;21 649 milliárd USD;5 milliárd USD;1,17%;1,49%;3,76%;3,75%;2,59%;2,26%
2022. június;0 milliárd WUD;0 milliárd USD;8 873 milliárd WUD;22 421 milliárd USD;21 607 milliárd USD;-42 milliárd USD;1,17%;2,17%;3,60%;4,10%;2,43%;1,93%
2022. július;0 milliárd WUD;0 milliárd USD;8 873 milliárd WUD;21 443 milliárd USD;21 636 milliárd USD;29 milliárd USD;1,26%;2,87%;3,60%;3,95%;2,34%;1,08%
2022. augusztus;1 milliárd WUD;2 milliárd USD;8 874 milliárd WUD;20 975 milliárd USD;21 632 milliárd USD;-4 milliárd USD;1,35%;3,15%;3,68%;3,99%;2,33%;0,84%
2022. szeptember;0 milliárd WUD;0 milliárd USD;8 874 milliárd WUD;20 271 milliárd USD;21 503 milliárd USD;-129 milliárd USD;1,49%;3,71%;4,00%;4,69%;2,52%;0,98%
2022. október;2 milliárd WUD;5 milliárd USD;8 876 milliárd WUD;21 213 milliárd USD;21 416 milliárd USD;-88 milliárd USD;1,50%;4,31%;4,20%;5,29%;2,70%;0,98%
2022. november;0 milliárd WUD;0 milliárd USD;8 876 milliárd WUD;21 091 milliárd USD;21 355 milliárd USD;-61 milliárd USD;1,70%;4,61%;4,30%;5,10%;2,60%;0,49%
2022. december;1 milliárd WUD;2 milliárd USD;8 877 milliárd WUD;21 959 milliárd USD;21 207 milliárd USD;-147 milliárd USD;1,80%;4,71%;4,40%;4,76%;2,60%;0,05%
2023;1 milliárd WUD;3 milliárd USD;8 878 milliárd WUD;22 332 milliárd USD;21 208 milliárd USD;0 milliárd USD;1,90%;4,80%;4,50%;4,61%;2,60%;-0,19%
2023. február;3 milliárd WUD;7 milliárd USD;8 881 milliárd WUD;22 049 milliárd USD;21 135 milliárd USD;-73 milliárd USD;2,00%;4,97%;4,50%;4,83%;2,50%;-0,14%
2023. március;2 milliárd WUD;5 milliárd USD;8 883 milliárd WUD;22 176 milliárd USD;20 888 milliárd USD;-247 milliárd USD;2,00%;4,99%;4,60%;4,88%;2,60%;-0,11%
2023. április;4 milliárd WUD;10 milliárd USD;8 887 milliárd WUD;22 116 milliárd USD;20 732 milliárd USD;-156 milliárd USD;1,95%;4,99%;4,55%;4,60%;2,60%;-0,39%
